('Fennec', 'Linux', 'Android_Brand')	7002
('Fennec', 'Linux', 'IsGarbageCollecting')	98
('Fennec', 'Linux', 'JavaStackTrace')	1144
('Fennec', 'Linux', 'URL')	599
('Fennec', 'Linux', 'id')	6669
('Firefox', 'Linux', 'IsGarbageCollecting')	111
('Firefox', 'Linux', 'URL')	1205
('Firefox', 'Linux', 'id')	2176
('Firefox', 'Mac OS X', '$total')	5700
('Firefox', 'Mac OS X', 'AdapterDeviceID')	4179
('Firefox', 'Mac OS X', 'Add-ons')	5605
('Firefox', 'Mac OS X', 'Comments')	226
('Firefox', 'Mac OS X', 'CrashTime')	5700
('Firefox', 'Mac OS X', 'EMCheckCompatibility')	5422
('Firefox', 'Mac OS X', 'Email')	378
('Firefox', 'Mac OS X', 'InstallTime')	5700
('Firefox', 'Mac OS X', 'ReleaseChannel')	5492
('Firefox', 'Mac OS X', 'Throttleable')	4416
('Firefox', 'Mac OS X', 'Vendor')	5700
('Firefox', 'Mac OS X', 'Version')	5700
('Firefox', 'Mac OS X', 'additional_minidumps')	481
('Firefox', 'Mac OS X', 'version')	4665
('Firefox', 'Windows NT', 'Accessibility')	8083
('Firefox', 'Windows NT', 'AdapterVendorID')	276880
('Firefox', 'Windows NT', 'CpuUsageFlashProcess2')	46892
('Firefox', 'Windows NT', 'FramePoisonBase')	254915
('Firefox', 'Windows NT', 'FramePoisonSize')	254916
('Firefox', 'Windows NT', 'Hang')	4
('Firefox', 'Windows NT', 'OOMAllocationSize')	6980
('Firefox', 'Windows NT', 'PluginFilename')	106624
('Firefox', 'Windows NT', 'PluginName')	18550
('Firefox', 'Windows NT', 'ProductID')	263964
('Firefox', 'Windows NT', 'ProductName')	318069
('Firefox', 'Windows NT', 'SecondsSinceLastCrash')	182486
('Firefox', 'Windows NT', 'StartupTime')	317962
('Firefox', 'Windows NT', 'UserID')	990
('Firefox', 'Windows NT', 'Winsock_LSP')	276827
('Firefox', 'Windows NT', 'bug836263-size')	277
('Firefox', 'Windows NT', 'submitted_timestamp')	318069
('Firefox', 'Windows NT', 'timestamp')	318069
('MetroFirefox', 'Windows NT', 'AvailableVirtualMemory')	21
('MetroFirefox', 'Windows NT', 'URL')	18
('MetroFirefox', 'Windows NT', 'id')	21
('SeaMonkey', 'Linux', '$total')	25
('SeaMonkey', 'Linux', 'Add-ons')	25
('SeaMonkey', 'Linux', 'Comments')	1
('SeaMonkey', 'Linux', 'CrashTime')	25
('SeaMonkey', 'Linux', 'EMCheckCompatibility')	23
('SeaMonkey', 'Linux', 'Email')	3
('SeaMonkey', 'Linux', 'InstallTime')	25
('SeaMonkey', 'Linux', 'ReleaseChannel')	23
('SeaMonkey', 'Linux', 'Throttleable')	20
('SeaMonkey', 'Linux', 'Vendor')	25
('SeaMonkey', 'Linux', 'Version')	25
('SeaMonkey', 'Linux', 'additional_minidumps')	3
('SeaMonkey', 'Linux', 'version')	20
('SeaMonkey', 'Mac OS X', 'IsGarbageCollecting')	1
('SeaMonkey', 'Mac OS X', 'URL')	7
('SeaMonkey', 'Mac OS X', 'id')	21
('SeaMonkey', 'Windows NT', 'AvailablePhysicalMemory')	736
('SeaMonkey', 'Windows NT', 'BuildID')	1404
('SeaMonkey', 'Windows NT', 'CpuUsageFlashProcess1')	229
('SeaMonkey', 'Windows NT', 'HangID')	30
('SeaMonkey', 'Windows NT', 'Notes')	1280
('SeaMonkey', 'Windows NT', 'NumberOfProcessors')	314
('SeaMonkey', 'Windows NT', 'PluginHang')	310
