BaseAddress	AllocationBase	AllocationProtect	RegionSize	State	Protect	Type
07972000	0	0	0000e000	00010000	00000001	
07980000	0	0	00010000	00001000	00000040	00020000
07990000	0	0	00100000	00001000	00000004	00020000
07a90000	0	0	0002a000	00001000	00000404	00040000
07aba000	0	0	00006000	00010000	00000001	
07ac0000	0	0	00010000	00001000	00000040	00020000
07ad0000	0	0	000fa000	00002000		00020000
07bca000	0	0	00001000	00001000	00000104	00020000
07bcb000	0	0	00005000	00001000	00000004	00020000
07bd0000	0	0	00010000	00001000	00000040	00020000
07be0000	0	0	00001000	00001000	00000020	00020000
07be1000	0	0	0000f000	00010000	00000001	
07bf0000	0	0	00010000	00001000	00000040	00020000
07c00000	0	0	00010000	00001000	00000040	00020000
07c10000	0	0	000f9000	00002000		00020000
07d09000	0	0	00001000	00001000	00000104	00020000
07d0a000	0	0	00006000	00001000	00000004	00020000
07d10000	0	0	000c0000	00001000	00000008	00040000
07dd0000	0	0	00010000	00001000	00000040	00020000
07de0000	0	0	00010000	00001000	00000040	00020000
07df0000	0	0	00010000	00001000	00000040	00020000
07e00000	0	0	00100000	00001000	00000004	00020000
07f00000	0	0	00100000	00001000	00000004	00020000
08000000	0	0	00100000	00001000	00000004	00020000
08100000	0	0	0000b000	00001000	00000004	00020000
0810b000	0	0	000f5000	00002000		00020000
08200000	0	0	00100000	00001000	00000004	00020000
08300000	0	0	00003000	00001000	00000004	00020000
08303000	0	0	000fd000	00002000		00020000
08400000	0	0	00100000	00001000	00000004	00020000
08500000	0	0	00800000	00001000	00000404	00020000
08d00000	0	0	00800000	00001000	00000004	00020000
09500000	0	0	000fc000	00001000	00000004	00020000
095fc000	0	0	00006000	00002000		00020000
09602000	0	0	000f8000	00001000	00000004	00020000
096fa000	0	0	00006000	00002000		00020000
09700000	0	0	00044000	00001000	00000004	00020000
09744000	0	0	000bc000	00002000		00020000
09800000	0	0	00100000	00001000	00000004	00020000
09900000	0	0	0003d000	00001000	00000004	00020000
0993d000	0	0	000c3000	00002000		00020000
09a00000	0	0	00100000	00001000	00000004	00020000
09b00000	0	0	00010000	00001000	00000040	00020000
09b10000	0	0	00001000	00001000	00000020	00020000
09b11000	0	0	0000f000	00010000	00000001	
09b20000	0	0	00010000	00001000	00000040	00020000
09b30000	0	0	0000c000	00002000		00020000
09b3c000	0	0	00001000	00001000	00000104	00020000
09b3d000	0	0	00003000	00001000	00000004	00020000
09b40000	0	0	00010000	00001000	00000040	00020000
09b50000	0	0	00010000	00001000	00000040	00020000
09b60000	0	0	000fd000	00002000		00020000
09c5d000	0	0	00001000	00001000	00000104	00020000
09c5e000	0	0	00002000	00001000	00000004	00020000
09c60000	0	0	00010000	00001000	00000040	00020000
09c70000	0	0	00010000	00001000	00000040	00020000
09c80000	0	0	00100000	00001000	00000004	00020000
09d80000	0	0	00080000	00001000	00000004	00020000
09e00000	0	0	00100000	00001000	00000004	00020000
09f00000	0	0	000ae000	00001000	00000002	00040000
09fae000	0	0	00002000	00010000	00000001	
09fb0000	0	0	00010000	00001000	00000040	00020000
09fc0000	0	0	00001000	00001000	00000004	00020000
09fc1000	0	0	0003f000	00002000		00020000
0a000000	0	0	00100000	00001000	00000004	00020000
0a100000	0	0	0026e000	00001000	00000004	00020000
0a36e000	0	0	00001000	00002000		00020000
0a36f000	0	0	001b6000	00001000	00000004	00020000
0a525000	0	0	00001000	00002000		00020000
0a526000	0	0	00212000	00001000	00000004	00020000
0a738000	0	0	00001000	00002000		00020000
0a739000	0	0	00416000	00001000	00000004	00020000
0ab4f000	0	0	00001000	00002000		00020000
0ab50000	0	0	00580000	00001000	00000004	00020000
0b0d0000	0	0	00001000	00001000	00000020	00020000
0b0d1000	0	0	0000f000	00010000	00000001	
0b0e0000	0	0	00001000	00001000	00000020	00020000
0b0e1000	0	0	0000f000	00010000	00000001	
